track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P2,671,67100,pedestrian/bicycle,1016.97,988.595,-3.473,-2.247
P2,672,67200,pedestrian/bicycle,1016.623,988.373,-3.463,-2.195
P2,673,67300,pedestrian/bicycle,1016.277,988.156,-3.453,-2.141
P2,674,67400,pedestrian/bicycle,1015.933,987.945,-3.441,-2.089
P2,675,67500,pedestrian/bicycle,1015.589,987.738,-3.436,-2.054
P2,676,67600,pedestrian/bicycle,1015.245,987.533,-3.45,-2.044
P2,677,67700,pedestrian/bicycle,1014.898,987.328,-3.479,-2.056
P2,678,67800,pedestrian/bicycle,1014.548,987.12,-3.527,-2.091
P2,679,67900,pedestrian/bicycle,1014.192,986.908,-3.6,-2.148
P2,680,68000,pedestrian/bicycle,1013.828,986.691,-3.677,-2.21
P2,681,68100,pedestrian/bicycle,1013.457,986.467,-3.74,-2.268
P2,682,68200,pedestrian/bicycle,1013.081,986.237,-3.785,-2.321
P2,683,68300,pedestrian/bicycle,1012.701,986.003,-3.813,-2.358
P2,684,68400,pedestrian/bicycle,1012.318,985.767,-3.842,-2.359
P2,685,68500,pedestrian/bicycle,1011.932,985.534,-3.884,-2.312
P2,686,68600,pedestrian/bicycle,1011.541,985.306,-3.929,-2.241
P2,687,68700,pedestrian/bicycle,1011.146,985.085,-3.962,-2.182
P2,688,68800,pedestrian/bicycle,1010.749,984.869,-3.988,-2.143
P2,689,68900,pedestrian/bicycle,1010.348,984.656,-4.022,-2.109
P2,690,69000,pedestrian/bicycle,1009.944,984.448,-4.075,-2.061
P2,691,69100,pedestrian/bicycle,1009.532,984.246,-4.158,-1.984
P2,692,69200,pedestrian/bicycle,1009.111,984.052,-4.26,-1.89
P2,693,69300,pedestrian/bicycle,1008.681,983.867,-4.349,-1.813
P2,694,69400,pedestrian/bicycle,1008.243,983.687,-4.4,-1.778
P2,695,69500,pedestrian/bicycle,1007.803,983.509,-4.405,-1.79
P2,696,69600,pedestrian/bicycle,1007.364,983.328,-4.371,-1.833
P2,697,69700,pedestrian/bicycle,1006.93,983.142,-4.313,-1.88
P2,698,69800,pedestrian/bicycle,1006.502,982.952,-4.241,-1.914
P2,699,69900,pedestrian/bicycle,1006.082,982.76,-4.163,-1.927
P2,700,70000,pedestrian/bicycle,1005.669,982.568,-4.09,-1.916
P2,701,70100,pedestrian/bicycle,1005.263,982.378,-4.032,-1.884
P2,702,70200,pedestrian/bicycle,1004.862,982.193,-3.995,-1.828
P2,703,70300,pedestrian/bicycle,1004.463,982.014,-3.984,-1.75
P2,704,70400,pedestrian/bicycle,1004.064,981.843,-3.993,-1.657
P2,705,70500,pedestrian/bicycle,1003.665,981.682,-3.995,-1.572
P2,706,70600,pedestrian/bicycle,1003.266,981.528,-3.973,-1.498
P2,707,70700,pedestrian/bicycle,1002.87,981.383,-3.957,-1.411
P2,708,70800,pedestrian/bicycle,1002.473,981.247,-3.984,-1.296
P2,709,70900,pedestrian/bicycle,1002.07,981.125,-4.068,-1.151
P2,710,71000,pedestrian/bicycle,1001.657,981.019,-4.198,-0.969
P2,711,71100,pedestrian/bicycle,1001.229,980.933,-4.353,-0.761
P2,712,71200,pedestrian/bicycle,1000.786,980.866,-4.515,-0.568
P2,713,71300,pedestrian/bicycle,1000.327,980.816,-4.675,-0.426
P2,714,71400,pedestrian/bicycle,999.852,980.777,-4.807,-0.362
P2,715,71500,pedestrian/bicycle,999.367,980.74,-4.907,-0.371
P2,716,71600,pedestrian/bicycle,998.872,980.701,-4.998,-0.421
P2,717,71700,pedestrian/bicycle,998.368,980.656,-5.073,-0.473
P2,718,71800,pedestrian/bicycle,997.86,980.608,-5.085,-0.49
P2,719,71900,pedestrian/bicycle,997.355,980.561,-5.019,-0.446
P2,720,72000,pedestrian/bicycle,996.858,980.522,-4.921,-0.338
P2,721,72100,pedestrian/bicycle,996.37,980.497,-4.833,-0.162
P2,722,72200,pedestrian/bicycle,995.889,980.493,-4.791,0.092
P2,723,72300,pedestrian/bicycle,995.409,980.519,-4.811,0.417
P2,724,72400,pedestrian/bicycle,994.924,980.579,-4.884,0.788
P2,725,72500,pedestrian/bicycle,994.431,980.678,-4.989,1.18
P2,726,72600,pedestrian/bicycle,993.926,980.815,-5.099,1.561
P2,727,72700,pedestrian/bicycle,993.412,980.988,-5.188,1.9
P2,728,72800,pedestrian/bicycle,992.891,981.191,-5.229,2.159
P2,729,72900,pedestrian/bicycle,992.37,981.413,-5.185,2.29
P2,730,73000,pedestrian/bicycle,991.859,981.642,-5.034,2.289
P2,731,73100,pedestrian/bicycle,991.368,981.867,-4.801,2.203
P2,732,73200,pedestrian/bicycle,990.901,982.081,-4.524,2.074
P2,733,73300,pedestrian/bicycle,990.463,982.281,-4.243,1.933
P2,734,73400,pedestrian/bicycle,990.051,982.468,-3.995,1.809
P2,735,73500,pedestrian/bicycle,989.661,982.644,-3.812,1.72
P2,736,73600,pedestrian/bicycle,989.285,982.814,-3.713,1.672
P2,737,73700,pedestrian/bicycle,988.915,982.981,-3.684,1.659
P4,1734,173400,pedestrian/bicycle,1007.637,970.995,-0.306,1.951
P4,1735,173500,pedestrian/bicycle,1007.597,971.253,-0.504,3.199
P4,1736,173600,pedestrian/bicycle,1007.537,971.634,-0.703,4.43
P4,1737,173700,pedestrian/bicycle,1007.456,972.136,-0.902,5.605
P4,1738,173800,pedestrian/bicycle,1007.356,972.749,-1.093,6.649
P4,1739,173900,pedestrian/bicycle,1007.239,973.456,-1.255,7.503
P4,1740,174000,pedestrian/bicycle,1007.109,974.238,-1.353,8.137
P4,1741,174100,pedestrian/bicycle,1006.973,975.072,-1.362,8.534
P4,1742,174200,pedestrian/bicycle,1006.841,975.935,-1.28,8.715
P4,1743,174300,pedestrian/bicycle,1006.721,976.806,-1.12,8.723
P4,1744,174400,pedestrian/bicycle,1006.62,977.673,-0.904,8.614
P4,1745,174500,pedestrian/bicycle,1006.542,978.526,-0.655,8.441
P4,1746,174600,pedestrian/bicycle,1006.489,979.361,-0.4,8.248
P4,1747,174700,pedestrian/bicycle,1006.461,980.176,-0.159,8.068
P4,1748,174800,pedestrian/bicycle,1006.456,980.975,0.066,7.912
P4,1749,174900,pedestrian/bicycle,1006.474,981.76,0.28,7.774
P4,1750,175000,pedestrian/bicycle,1006.512,982.531,0.487,7.646
P4,1751,175100,pedestrian/bicycle,1006.571,983.289,0.692,7.517
P4,1752,175200,pedestrian/bicycle,1006.65,984.034,0.89,7.393
P4,1753,175300,pedestrian/bicycle,1006.748,984.768,1.07,7.281
P4,1754,175400,pedestrian/bicycle,1006.863,985.491,1.223,7.176
P4,1755,175500,pedestrian/bicycle,1006.992,986.203,1.358,7.06
P4,1756,175600,pedestrian/bicycle,1007.133,986.902,1.477,6.924
P4,1757,175700,pedestrian/bicycle,1007.286,987.587,1.569,6.778
P4,1758,175800,pedestrian/bicycle,1007.446,988.257,1.633,6.626
P4,1759,175900,pedestrian/bicycle,1007.611,988.912,1.677,6.465
P4,1760,176000,pedestrian/bicycle,1007.78,989.55,1.707,6.294
P4,1761,176100,pedestrian/bicycle,1007.952,990.17,1.731,6.121
P4,1762,176200,pedestrian/bicycle,1008.127,990.774,1.759,5.957
P4,1763,176300,pedestrian/bicycle,1008.304,991.363,1.79,5.811
P4,1764,176400,pedestrian/bicycle,1008.485,991.938,1.819,5.688
P4,1765,176500,pedestrian/bicycle,1008.667,992.501,1.837,5.584
P4,1766,176600,pedestrian/bicycle,1008.852,993.056,1.844,5.502
P4,1767,176700,pedestrian/bicycle,1009.035,993.603,1.835,5.441
P4,1768,176800,pedestrian/bicycle,1009.217,994.145,1.805,5.402
P4,1769,176900,pedestrian/bicycle,1009.395,994.684,1.748,5.387
P4,1770,177000,pedestrian/bicycle,1009.565,995.223,1.66,5.391
P4,1771,177100,pedestrian/bicycle,1009.725,995.764,1.54,5.416
P4,1772,177200,pedestrian/bicycle,1009.872,996.308,1.389,5.465
P4,1773,177300,pedestrian/bicycle,1010.002,996.858,1.212,5.535
P4,1774,177400,pedestrian/bicycle,1010.113,997.415,1.019,5.613
P4,1775,177500,pedestrian/bicycle,1010.205,997.98,0.811,5.695
P4,1776,177600,pedestrian/bicycle,1010.275,998.555,0.582,5.793
P4,1777,177700,pedestrian/bicycle,1010.32,999.141,0.32,5.927
P4,1778,177800,pedestrian/bicycle,1010.337,999.743,0.02,6.119
P4,1779,177900,pedestrian/bicycle,1010.322,1000.367,-0.313,6.366
P4,1780,178000,pedestrian/bicycle,1010.273,1001.017,-0.661,6.627
P4,1781,178100,pedestrian/bicycle,1010.191,1001.691,-0.993,6.851
P4,1782,178200,pedestrian/bicycle,1010.077,1002.382,-1.277,6.976
P4,1783,178300,pedestrian/bicycle,1009.938,1003.081,-1.507,6.987
P4,1784,178400,pedestrian/bicycle,1009.778,1003.775,-1.698,6.906
